,Food,Price
0,Combo1A: Cơm Bò Kim Chi Sốt Phô  mai + Soda Chanh Dây/Dưa hấu/Chanh leo,"113,000"
1,Combo1C: Cơm burger sinh đôi sốt Hotto+01Pepsi+01 khoai tây chiên,"132,000"
2,Combo1B: Mỳ ý sốt bò bằm+ 01 Pepsi ,"94,000"
3,Combo 2A: Cơm bò kim chi sốt phô mai+Mỳ ý bò bằm+khoai tây chiên+02 Pepsi,"199,000"
4,Combo Ecook 2: Mỳ ý sốt bò bằm+ 01 Pepsi+ 01 túi mỳ ý sốt bò bằm,"132,000"
5,Combo 1B+: Mỳ ý sốt bò bằm+01Pepsi+01 Khoai tây chiên,"113,000"
6,Combo Ecook1: Cơm thịt heo xào kim chi sốt Bulgogi+01 Pepsi+01 túi ba chỉ heo ướp sốt cay Hàn Quốc,"151,000"
7,Combo 2B: Cơm burger sinh đôi sốt Hotto+ Cơm thịt heo xào kim chi sốt Bulgogi+ 02 Pepsi+ khoai tây chiên,"199,000"
8,Cơm Bò Kim Chi Sốt Phomai,"84,000"
9,Cơm Bò Cà Ri Khô ,"84,000"
10,Cơm Burger Gà Phủ Phô mai và Thịt Gà Sốt Teriyaki,"79,000"
11,Cơm Thịt Heo Xào Kimchi Sốt Bulgogi,"67,000"
12,Cơm Bò Hạt Tiêu Deli,"76,000"
13,Bò Ba Chỉ Với Trứng,"79,000"
14,Cơm Burger gà và trứng,"71,000"
15,Cơm Burger Sinh Đôi Sốt Cay Hàn Quốc ,"89,000"
16,Burger Bò với Trứng ,"76,000"
17,Burger Bò với Bò Ba Chỉ ,"87,000"
18,Cơm Burger Gà với Bò Ba Chỉ,"79,000"
19,Gà Teriyaki Với Hạt Tiêu,"71,000"
20,Burger Bò với Thịt Gà ,"79,000"
21,Cơm Burger Gà Phủ Phô Mai và Thịt Gà Sốt Cay Hàn Quốc,"79,000"
22,Cơm Burger Sinh Đôi Sốt Hotto,"89,000"
23,Khoai tây chiên,"35,000"
24,Khăn Lạnh ,"2,000"
25,Pepsi (Bao Gồm Đá),"20,000"
26,Nước Ép Cam,"59,000"
27,Soda Chanh Dây ,"39,000"
28,Bia Sài Gòn (lon),"39,000"
29,Nước cam hoa hồng,"49,000"
30,7 UP (Lon) ,"25,000"
31,Nước suối ,"19,000"
