,Food,Price
0,#1 Margherita Size L,"216,000"
1,#2 Hawaiian Size L,"216,000"
2,#3 BBQ Beef Size L,"216,000"
3,#4 Sausage Supreme Size L,"216,000"
4,#5 Bolognaise Size L,"248,400"
5,#6 Seafood Maryland Size L,"248,400"
6,#7 Cheesy Tluna Size L,"248,400"
7,#8 Pepperonis Size L,"248,400"
8,#9 Teriyaki Chicken Size L,"248,400"
9,#10 Marinara Size L,"259,200"
10,#11 Beefy Size L,"259,200"
11,#12 Seafood Mornay Size L,"259,200"
12,Coca-Cola,"33,000"
13,DAILY DEAL (PIZZA #5-12),"21,600"
14,DAILY DEAL (#1-4),"21,600"
15,Party Pack,"518,400"
16,#5 Bolognaise Size S,"172,800"
17,#2 Hawaiian Size S,"162,000"
18,#6 Seafood Maryland Size S,"172,800"
19,#7 Cheesy Tuna Size S,"172,800"
20,#4 Sausage Supreme Size S,"162,000"
21,#12 Seafood Mornay Size S,"183,600"
22,#1 Margherita Size S,"162,000"
23,BUILD YOUR OWN size L,"259,200"
24,BUILD YOUR OWN size S ,"183,600"
25,American Fries,"86,400"
26,Rib Tip's,"108,000"
27,Chicken Basket,"108,000"
28,Chefs Wings,"108,000"
29,Calamari Rings,"97,200"
30,Korean chicken yaya,"108,000"
31,Pepps Special Salad,"108,000"
32,Creamy Russian Salad,"108,000"
33,Caesar Salad,"108,000"
34,Green Garden Salad,"86,400"
35,Healthy Fruit Salad,"108,000"
36,Chefs Salad,"86,400"
37,Creamy Chicken & Corn Soup,"75,600"
38,Garlic Bread,"54,000"
39,Pumkin soup,"75,600"
40,Pumpkin Soup,"86,400"
41,Pepps Cheesy Bread,"75,400"
42,Bolognaise,"151,200"
43,Carbonara,"151,200"
44,Creamy Chicken,"140,400"
45,Steak & Mushroom,"162,000"
46,Beef Lasagna,"172,800"
47,Bolognaise Bake,"172,800"
48,Beefy,"140,400"
49,Spaghetti Seafood,"162,000"
50,Seafood Fried Rice,"162,000"
51,Big Aussie Sausage,"129,600"
52,Honey Chicken Thigh & Rice,"162,000"
53,Combination Fried Rice,"151,200"
54,1/4 Rack,"205,200"
55,1/2 Rack,"399,600"
56,Sizzling Pepper Steak,"205,200"
57,Steak & Ribs,"280,800"
58,Cheese Burger,"118,800"
59,Imported Steak,"313,200"
60,Caramel,"32,400"
61,Apple Crumble,"54,000"
62,Coke,"32,400"
63,Diet Coke,"32,400"
64,Soda,"32,400"
65,Chanh Leo,"32,400"
66,DƯA HẤU,"32,400"
67,Chanh,"32,400"
68,Trà Lipton,"21,600"
69,Trà Lipton Với Sữa,"32,400"
70,ICE CREAM SHAKES,"59,400"
