,Food,Price
0,Milo Dầm Kem Trứng Tutimi,"1,000"
1,Cafe Sữa Tutimi,"16,500"
2,Bạc Xỉu Tutimi,"16,500"
3,Cacao Tutimi,"16,500"
4,Cafe Sữa Tươi Tutimi,"18,000"
5,Cafe Đen Tutimi,"15,000"
6,Milo Dầm Full Topping Tutimi,"38,000"
7,Milo Dầm Trân Châu Đường Đen Tutimi,"32,000"
8,Milo Dầm Bánh Flan Trứng Tutimi,"32,000"
9,Milo Dầm Phô Mai Sữa Tươi Tutimi,"32,000"
10,Milo Dầm Kem Trứng + Bánh Flan,"35,000"
11,Milo Dầm Pudding Tutimi,"32,000"
12,Milo Dầm Phô Mai Choco Tutimi,"32,000"
13,Trà Sữa Full Topping Tutimi,"32,000"
14,Trà Sữa Phô Mai Tươi Tutimi,"25,000"
15,Trà Sữa Trân Châu Đen Tutimi,"25,000"
16,Trà Sữa Truyền Thống Tutimi,"18,000"
17,Trà Sữa Ôlong Thượng Hạng Tutimi,"22,000"
18,Trà Sữa Trân Châu Trắng Tutimi,"25,000"
19,Trà sữa Flan Tutimi ,"25,000"
20,Trà Sữa Socola Tutimi,"22,000"
21,Trà Sữa Kem Trứng Tutimi,"25,000"
22,Trà Sữa Matcha Tutimi,"25,000"
23,Trà Sữa Thái Xanh Kem Trứng,"25,000"
24,Trà Sữa Kem Machiato Tutimi,"25,000"
25,Trà Sữa Hạt Sen Tutimi,"25,000"
26,Trà Sữa Pudding Tutimi,"25,000"
27,Trà Đào Tutimi,"27,000"
28,Trà Vải Tutimi,"27,000"
29,Hồng Trà Full Topping Tutimi,"30,000"
30,Hồng Trà Tắc Mật Ong Tutimi,"22,000"
31,Hồng Trà Tutimi,"18,000"
32,Trà Hoa Quả Nhiệt Đới Tutimi ,"35,000"
33,Hồng Trà Machiato Tutimi,"25,000"
34,Trà Ôlong Hạt Sen Tutimi,"27,000"
35,Trà Xoài Nam Phi Tutimi ,"32,000"
36,Trà Dứa Nhiệt Đới Tutimi ,"32,000"
37,Cà Phê Kem Muối Biển Tutimi size L,"25,000"
38,Cà Phê Kem Choco Tutimi size L,"25,000"
39,Cà Phê Kem Trứng size L,"25,000"
40,Sữa Tươi Trân Châu Đường Đen Tutimi,"27,000"
41,Sữa Tươi Kem Trứng Trân Châu Đường Đen Tutimi,"30,000"
42,Sữa tươi Matcha Trân Châu Đường Đen Tutimi,"28,000"
43, Sữa Tươi Cacao Đường Đen Tutimi,"28,000"
44,Bánh Flan Trứng,"10,000"
