,Food,Price
0,Trà Oolong sữa tươi,"30,000"
1,Trà gạo lứt - sữa tươi Hạt Sen,"30,000"
2,Trà đen - sữa tươi,"30,000"
3,Trà xanh hoa nhài - sữa tươi,"30,000"
4,Trà Gạo Lứt sữa tươi,"30,000"
5,Matcha sữa tươi Hạt Sen,"35,000"
6,Matcha Sữa Tươi,"35,000"
7,Trà xanh Thái Nguyên sữa tươi Đào,"30,000"
8,Trà Rang Di Linh Sữa Tươi,"30,000"
9,Trà xanh Thái Nguyên sữa tươi Kiwi,"30,000"
10,Yaou vải trái,"30,000"
11,Houjicha Oreo - sữa tươi,"37,000"
12,Yaou đào hạnh nhân,"30,000"
13,Trà Xanh Hoa  Nhài Sữa Tươi Vị Đào,"30,000"
14,Trà Đen Cao Sơn Sữa Tươi ,"30,000"
15,Trà Xanh Hoa Nhài Sữa Tươi - Bánh Flan,"32,000"
16,Trà Gạo Lứt Sữa Tươi Bánh Flan,"32,000"
17,Trà Đen Sữa Tươi Bánh Flan,"32,000"
18,Trà Olong Sữa Tươi - Bánh Flan,"32,000"
19,Trà Xanh Thái Nguyên Sữa Tươi- Bánh Flan,"32,000"
20,Matcha Nhật  Sữa Tươi  bánh Flan,"37,000"
21,Houjicha Nhật Sữa Tươi - Bánh Flan,"37,000"
22,Trà Xanh Hoa Nhài Sữa Tươi Vị Đào - Bánh Flan,"32,000"
23,Trà Oolong Di Linh Sữa Tươi- Bánh Flan,"32,000"
24,Trà Olong Hạt Sen,"30,000"
25,Trà nhài cam sả,"25,000"
26,Trà Oolong Không Đường Hạt Chia,"25,000"
27,Trà Oolong đào - chanh dây - đào miếng,"30,000"
28,Trà Olong Đào Chanh Dây Trân Châu Củ Năng,"25,000"
29,Trà OLong Vải,"30,000"
30,Trà đen Việt Quất,"25,000"
31,Trà đen,"25,000"
32,Trà Oolong Việt Quất,"25,000"
33,Trà đen Mix Berries,"25,000"
34,Trà đen mixberries kem phô mai,"35,000"
35,Chocolate - Oreo kem phô mai,"35,000"
36,Trà Oolong kem phô mai,"35,000"
37,Chocolate - cafe - Arabica kem phô mai,"35,000"
38,Trà đen (hồng trà) kem phô mai,"35,000"
39,Trà Oolong - Việt Quất kem phô mai,"35,000"
40,Trà đen việt quất kem phô mai,"35,000"
41,Trà đen phúc bồn tử kem phô mai,"35,000"
42,Yogurt Sữa Tươi Đào,"30,000"
