,Food,Price
0,Trà sữa 123,"18,000"
1,Trà sữa trứng nướng size S,"28,000"
2,Trà sữa trứng nướng size M,"38,000"
3,Trà sữa 123 vị chocolate,"25,000"
4,Trà sữa Thái xanh,"18,000"
5,Trà sữa Thái đỏ,"18,000"
6,Trà sữa 123 vị đào,"25,000"
7,Trà sữa 123 vị hạt phỉ (hazenut),"25,000"
8,Trà sữa 123 vị caramel,"25,000"
9,Trà đào,"22,000"
10,Trà chanh,"18,000"
11,Trà atiso đỏ,"30,000"
12,Trà xoài,"30,000"
13,Trà xoài macchiato,"35,000"
14,Trà vải macchiato,"35,000"
15,Trà đen macchiato,"35,000"
16,Trà yakult,"30,000"
17,Bạc xỉu size M,"25,000"
18,Cà phê sữa đá size M,"25,000"
19,Cà phê sữa đá size S,"20,000"
20,Cà phê trứng nướng,"37,000"
21,Bạc xỉu size S,"20,000"
22,Cà phê đen đá size M,"20,000"
23,Cà phê đen đá size S,"15,000"
24,Cà phê kem cheese,"37,000"
25,Cà phê macchiato,"35,000"
26,Sữa tươi trân châu đường đen,"35,000"
27,Sữa tươi đường đen trân châu caramel,"35,000"
28,Sữa tươi cà phê trứng nướng,"49,000"
29,Sữa tươi cà phê,"39,000"
30,Sữa tươi cà phê macchiato,"49,000"
