,Food,Price
0,Hồng Trà,"33,000"
1,Trà Nhài,"33,000"
2,Trà Ô Long,"33,000"
3,Trà Ô long Đường đen,"42,000"
4,Hồng trà Đường đen,"42,000"
5,Nhài Sữa,"42,000"
6,Trà sữa Trân Châu,"49,000"
7,Trà sữa Ô long,"42,000"
8,Trà sữa Hạt dẻ,"49,000"
9,Trà sữa Hokkaido,"49,000"
10,Hồng Trà Sữa,"42,000"
11,Trà sữa Đường Đen,"49,000"
12,Trà sữa Vanilla,"49,000"
13,Trà sữa Thạch Pudding,"49,000"
14,Trà sữa Thạch rau câu,"49,000"
15,Trà sữa Mật Ong,"42,000"
16,TIRA-MISS-U,"59,000"
17,Cake Matcha Hồng Trà Socola,"59,000"
18,Cake Dâu Socola,"59,000"
19,LOVELY BERRY,"59,000"
20,Matcha kem Mousse,"54,000"
21,Hồng trà kem Mousse,"45,000"
22,Khoai môn kem Mousse,"54,000"
23,Socola kem Mousse,"54,000"
24,Trà nhài kem Mousse,"45,000"
25,Ô long kem Mousse,"45,000"
26,Dâu sữa,"49,000"
27,Xoài sữa,"49,000"
28,Đào sữa,"49,000"
29,Vải sữa,"49,000"
30,Trà xanh kiwi lô hội,"46,000"
31,Trà đen đào,"46,000"
32,Trà đen vị dâu tây,"42,000"
33,Trà đen vị Xoài,"42,000"
34,Trà đen vị mật ong,"42,000"
35,Trà đen vị vải,"42,000"
36,Trà xanh vị vải,"42,000"
37,Trà xanh vị mật ong,"42,000"
38,Socola,"42,000"
39,Matcha,"42,000"
40,Khoai môn Latte,"52,000"
41,Chocolate Latte,"52,000"
42,Hồng Trà Latte,"42,000"
43,Xanh nhài Latte,"42,000"
44,Matcha Latte,"52,000"
